Model Name;Species Name
msp_0340.mat;[Clostridium]_leptum
msp_0341.mat;msp_0341.mat
msp_0342.mat;Flavonifractor_sp._2789STDY5834931_/_Clostridiales_bacterium_CCNA10
msp_0343.mat;[Clostridium]_sp._CAG:413
msp_0344.mat;[Anaerotruncus]_sp._CAG:390
msp_0345.mat;Faecalibacterium_prausnitzii_8
msp_0346.mat;Lachnoclostridium_sp._SNUG30386_/_[Clostridium]_sp._CAG:43
msp_0347.mat;Clostridium_paraputrificum
msp_0348.mat;unclassified_Catabacter
msp_0349.mat;Bacteroides_sp._An19_&_An51A_&_An269_&_An279_&_CAG:702
msp_0350.mat;Fournierella_massiliensis
msp_0351.mat;unclassified_Bacteroides
msp_0352.mat;Oscillibacter_sp._CAG:241_&_CIM:MAG_164_1
msp_0353.mat;msp_0353.mat
msp_0354.mat;unclassified_Christensenellaceae-Catabacteriaceae
msp_0355.mat;unclassified_Bacteroides
msp_0356.mat;unclassified_Clostridiales_5
msp_0357.mat;[Clostridium]_sp._CAG:169
msp_0358.mat;unclassified_Anaerobutyricum
msp_0359.mat;Mitsuokella_jalaludinii
msp_0360.mat;[Clostridium]_asparagiforme_==_lavalense
msp_0361.mat;Firmicutes_bacterium_CAG:170
msp_0362.mat;Clostridium_saudiense
msp_0363.mat;Bacteroides_cutis
msp_0364.mat;Intestinimonas_butyriciproducens
msp_0365.mat;unclassified_Lachnospiraceae
msp_0366.mat;unclassified_Caecibacter
msp_0367.mat;Ruminococcus_champanellensis
msp_0368.mat;msp_0368.mat
msp_0369.mat;msp_0369.mat
msp_0370.mat;Anaeromassilibacillus_sp._Marseille-P3371_/_Clostridia_bacterium_UC5.1-1E11
msp_0371.mat;unclassified_Roseburia
msp_0372.mat;msp_0372.mat
msp_0373.mat;[Clostridium]_sp._2789STDY5608884
msp_0374.mat;Gemmiger_formicilis
msp_0375.mat;msp_0375.mat
msp_0376.mat;[Bacteroides]_pectinophilus
msp_0377.mat;Bacteroides_barnesiae
msp_0378.mat;[Eubacterium]_sp._CAG:156
msp_0379.mat;Merdimonas_faecis
msp_0380.mat;Streptococcus_salivarius
msp_0381.mat;Alistipes_senegalensis
msp_0382.mat;unclassified_Lachnospiraceae
msp_0383.mat;Dialister_succinatiphilus
msp_0384.mat;unclassified_Clostridiales_5
msp_0385.mat;[Ruminococcaceae]_bacterium_D16_/_Clostridiales_bacterium_Choco116
msp_0386.mat;msp_0386.mat
msp_0387.mat;Firmicutes_bacterium_CAG:882
msp_0388.mat;Faecalibacterium_prausnitzii_3
msp_0389.mat;Faecalibacterium_prausnitzii_4
msp_0390.mat;Bacteroides_sp._CAG:1076
msp_0391.mat;Oscillibacter_sp._CAG:155
msp_0392.mat;Firmicutes_bacterium_CAG:238
msp_0393.mat;unclassified_Ruminococcaceae
msp_0394.mat;unclassified_Parabacteroides
msp_0395.mat;Brachyspira_sp._CAG:700
msp_0396.mat;Adlercreutzia_equolifaciens
msp_0397.mat;unclassified_Lachnospiraceae
msp_0398.mat;msp_0398.mat
msp_0399.mat;Faecalibacterium_prausnitzii_5
msp_0400.mat;unclassified_Ruminococcaceae
msp_0401.mat;msp_0401.mat
msp_0402.mat;unclassified_Lachnoclostridium
msp_0403.mat;msp_0403.mat
msp_0404.mat;unclassified_Clostridiales_5
msp_0405.mat;Ruminococcus_sp._CAG:403
msp_0406.mat;unclassified_Veillonellaceae
msp_0407.mat;unclassified_Gemmiger
msp_0408.mat;msp_0408.mat
msp_0409.mat;Pyramidobacter_piscolens
msp_0410.mat;Clostridiales_bacterium_CIM:MAG_131
msp_0411.mat;unclassified_Akkermansia
msp_0412.mat;[Bacteroides]_sp._CAG:144
msp_0413.mat;unclassified_Phascolarctobacterium
msp_0414.mat;Duodenibacillus_massiliensis
msp_0415.mat;Coprobacter_sp._CIM:MAG_570
msp_0416.mat;[Bacteroides]_sp._CAG:709
msp_0417.mat;unclassified_Alistipes
msp_0418.mat;unclassified_Gemmiger
msp_0419.mat;Bifidobacterium_bifidum
msp_0420.mat;unclassified_Ruminococcus
msp_0421.mat;msp_0421.mat
msp_0422.mat;Romboutsia_timonensis
msp_0423.mat;unclassified_Oscillibacter
msp_0424.mat;unclassified_Christensenellaceae-Catabacteriaceae
msp_0425.mat;unclassified_Clostridiales_6
msp_0426.mat;Dialister_sp._CAG:486
msp_0427.mat;[Eubacterium]_sp._CAG:786
msp_0428.mat;Bacteroidales_bacterium_H5
msp_0429.mat;Alistipes_timonensis
msp_0430.mat;msp_0430.mat
msp_0431.mat;[Eubacterium]_sp._CAG:274
msp_0432.mat;msp_0432.mat
msp_0433.mat;unclassified_Lachnospiraceae
msp_0434.mat;unclassified_Ruminococcus
msp_0435.mat;unclassified_Oscillibacter
msp_0436.mat;Blautia_obeum
msp_0437.mat;msp_0437.mat
msp_0438.mat;Bacteroides_sp._UBA7116_&_UBA7052
msp_0439.mat;unclassified_Alistipes
msp_0440.mat;unclassified_Roseburia
msp_0441.mat;unclassified_Roseburia
msp_0442.mat;unclassified_Flavonifractor
msp_0443.mat;unclassified_Parabacteroides
msp_0444.mat;unclassified_Ruminococcaceae
msp_0445.mat;unclassified_Ruminococcus
msp_0446.mat;msp_0446.mat
msp_0447.mat;Firmicutes_bacterium_CAG:272
msp_0448.mat;unclassified_Lachnospiraceae
msp_0449.mat;msp_0449.mat
msp_0450.mat;Clostridiales_bacterium_UBA4224
msp_0451.mat;unclassified_Ruminococcus
msp_0452.mat;unclassified_Clostridiales_5
msp_0453.mat;unclassified_Clostridiales_5
msp_0454.mat;unclassified_Clostridium
msp_0455.mat;Candidatus_Gastranaerophilales_sp1
msp_0456.mat;unclassified_Gemmiger
